Source,Filename,Youtube,Delay,Speed,Remove Black Bar,Notes
DLC1,Blink-182 - All the Small Things,https://www.youtube.com/watch?v=9Ht5RZpzPqw,-751,99.65,FALSE,
DLC1,Blink-182 - Dammit,https://www.youtube.com/watch?v=sT0g16_LQaQ,-1710,99.95,FALSE,
DLC1,Blink-182 - Down,https://www.youtube.com/watch?v=XrTZT49u0kM,-1668,100,FALSE,
DLC1,Blink-182 - Feeling This,https://www.youtube.com/watch?v=4kMZ23T9VHE,6340,100,FALSE,
DLC1,Blink-182 - First Date,https://www.youtube.com/watch?v=vVy9Lgpg1m8,20646,100,FALSE,Desyncs 3/4 of the way in
DLC1,Blink-182 - I Miss You,https://www.youtube.com/watch?v=s1tAYmMjLdY,-3045,100,FALSE,
DLC1,Blink-182 - The Rock Show,https://www.youtube.com/watch?v=z7hhDINyBP0,14214,99.95,FALSE,
DLC1,Blink-182 - What's My Age Again,https://www.youtube.com/watch?v=K7l5ZeVVoCA,-4504,99.7,FALSE,
DLC1,Blondie - Call Me,https://www.youtube.com/watch?v=StKVS0eI85I,-2970,99.7,FALSE,Very short edit
DLC1,Blondie - Hanging on the Telephone,https://www.youtube.com/watch?v=uWhkbDMISl8,-3680,100.3,FALSE,
DLC1,Blondie - Rapture,https://www.youtube.com/watch?v=pHCdS7O248g,-7520,100.2,FALSE,Short edit
DLC1,Blue Öyster Cult - Godzilla,Not Found,,,FALSE,
DLC1,Blue Öyster Cult - Transmaniacon MC,Not Found,,,FALSE,
DLC1,Blur - Beetlebum,https://www.youtube.com/watch?v=WAXnqjUfal4,-4760,100,FALSE,
DLC1,Blur - There's No Other Way,https://www.youtube.com/watch?v=LJzCYSdrHMI,5440,100,FALSE,Some lyrics difference
DLC1,Bob Marley and the Wailers - Buffalo Soldier,https://www.youtube.com/watch?v=uMUQMSXLlHM,-4280,100,FALSE,Very short edit
DLC1,Bob Marley and the Wailers - Could You Be Loved,https://www.youtube.com/watch?v=1ti2YCFgCoI,-750,100,FALSE,
DLC1,Bob Marley and the Wailers - Exodus,Not Found,,,FALSE,
DLC1,Bob Marley and the Wailers - I Shot the Sheriff,Not Found,,,FALSE,
DLC1,Bob Marley and the Wailers - Is This Love,https://www.youtube.com/watch?v=69RdQFDuYPI,-3680,100,FALSE,
DLC1,Bob Marley and the Wailers - Jamming,https://www.youtube.com/watch?v=oqVy6eRXc7Q,-2211,99.7,FALSE,
DLC1,Bob Marley and the Wailers - No Woman No Cry,https://www.youtube.com/watch?v=IT8XvzIfi4U,376,100,FALSE,
DLC1,Bob Marley and the Wailers - One Love-People Get Ready,https://www.youtube.com/watch?v=IN0KkGeEURw,-4792,100,FALSE,
DLC1,Bob Marley and the Wailers - Redemption Song,https://www.youtube.com/watch?v=yv5xonFSC4c,-3720,100.426,FALSE,
DLC1,Bob Marley and the Wailers - Satisfy My Soul,https://www.youtube.com/watch?v=5O1WKodlCIA,71720,100,FALSE,
DLC1,Bob Marley and the Wailers - Stir It Up,Not Found,,,FALSE,
DLC1,Bob Marley and the Wailers - Three Little Birds,https://www.youtube.com/watch?v=HNBCVM4KbUM,-4963,99.68,FALSE,
DLC1,Bob Marley and the Wailers - Waiting in Vain,https://www.youtube.com/watch?v=Hk9-WRmZEfA,-4400,99.7,FALSE,
DLC1,Boston - Hitch A Ride,Not Found,,,FALSE,
DLC1,Boston - More Than A Feeling,https://www.youtube.com/watch?v=t4QK8RxCAwo,-71545,100,FALSE,"Short edit, sync in the middle"
DLC1,Boston - Peace of Mind,Not Found,,,FALSE,
DLC1,Boston - Rock and Roll Band,Not Found,,,FALSE,
DLC1,Boston - Smokin',Not Found,,,FALSE,
DLC1,Boston - Something About You,Not Found,,,FALSE,
DLC1,Boys Like Girls - The Great Escape,https://www.youtube.com/watch?v=JGPgxoIPY6Q,-4705,100,FALSE,
DLC1,Brad Paisley - Mud on the Tires,https://www.youtube.com/watch?v=X6nxHNrIwJA,-1034,100,FALSE,Desyncs due to story
DLC1,Breaking Benjamin - I Will Not Bow,https://www.youtube.com/watch?v=7qrRzNidzIc,-3792,100,FALSE,
DLC1,Breaking Benjamin - So Cold,https://www.youtube.com/watch?v=UkI4KejmSfY,-35327,100,FALSE,"Different edit, loses sync"
DLC1,Breaking Benjamin - The Diary of Jane,https://www.youtube.com/watch?v=DWaB4PXCwFU,-3667,100.1,FALSE,
DLC1,Brian Setzer - Stray Cat Strut,https://www.youtube.com/watch?v=vEtbfzMLVWU,-3280,100.2,FALSE,
